Scenario - ProgCode3_Eyetracking
Logfile written - 12/06/2017 09:13:31

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

p01	11	Pulse	30	11199085	111121	0
p01	11	Pulse	30	11219084	131119	0
p01	11	Pulse	30	11239084	151119	0
p01	11	Pulse	30	11259083	171119	0
p01	11	Pulse	30	11279083	191119	0
p01	11	Pulse	30	11299083	211118	0
p01	11	Pulse	30	11319083	231119	0
p01	11	Pulse	30	11339083	251118	0
p01	11	Pulse	30	11359082	271118	0
p01	11	Response	1	11367392	279428	1
p01	11	Pulse	30	11379082	291117	0
p01	12	Picture	LastResponseCondition	11388022	0	1	20159	1	0	next	other	0
p01	12	Pulse	30	11399082	11060	0
p01	13	Picture	D2_2	11408181	0	1	150112	1	0	150000	other	0
p01	13	Pulse	30	11419082	10901	0
p01	13	Response	2	11420691	12510	1
p01	13	Response	2	11426441	18260	1
p01	13	Response	2	11432551	24370	1
p01	13	Response	2	11437481	29300	1
p01	13	Pulse	30	11439081	30900	0
p01	13	Response	1	11444121	35940	1
p01	13	Response	1	11450161	41980	1
p01	13	Response	2	11455251	47070	1
p01	13	Pulse	30	11459081	50900	0
p01	13	Response	1	11462311	54130	1
p01	13	Response	2	11471761	63580	1
p01	13	Response	2	11477641	69459	1
p01	13	Pulse	30	11479081	70900	0
p01	13	Response	2	11483080	74899	1
p01	13	Response	2	11488211	80029	1
p01	13	Response	1	11493830	85649	1
p01	13	Response	2	11499071	90889	1
p01	13	Pulse	30	11499090	90909	0
p01	13	Response	2	11505560	97379	1
p01	13	Response	2	11512441	104260	1
p01	13	Response	2	11517700	109519	1
p01	13	Pulse	30	11519080	110899	0
p01	13	Response	2	11522880	114699	1
p01	13	Response	2	11531160	122979	1
p01	13	Response	1	11536570	128389	1
p01	13	Pulse	30	11539080	130899	0
p01	14	Picture	RestCondition	11558293	0	1	200094	1	0	next	other	0
p01	14	Pulse	30	11559080	787	0
p01	14	Pulse	30	11579080	20787	0
p01	14	Pulse	30	11599079	40786	0
p01	14	Pulse	30	11619079	60786	0
